county_fips,n_seed_infection,infectious_rate,seeding_date_delta,lockdown_scalars,changepoint_scalars,population_0_9,population_10_19,population_20_29,population_30_39,population_40_49,population_50_59,population_60_69,population_70_79,population_80,n_total,household_size_1,household_size_2,household_size_3,household_size_4,household_size_5,household_size_6
53053,30.0,5.2,15.0,"1.0,0.8458257092344333,0.8530554084310972,0.8614665618118779,0.80728267063634,0.784102769369955,0.8041726685815735,0.9003644506704463,0.8133634522145399,0.7890246547418561,0.8008255423717445,0.7943381864168728,0.7362201308322904,0.6419637303544063,0.6937850183578813,0.7062214173004961,0.5340461919711778,0.5063045235446572,0.4649184897327695,0.46173104746709404,0.45046628335354594,0.4033630494882889,0.386567201907768,0.33271252451438477,0.31117008031900695,0.2682402448522529,0.25706775613737887,0.26489976661118064,0.27670642642951065,0.2740004244880649,0.28080223865371867,0.3103501376335208,0.2792976348026605,0.27896806274674035,0.29153348005307494,0.2921808940164499,0.3106414672823402,0.3029844669082095,0.3204923902320506,0.31507807747378247,0.3036280062071593,0.33073157578820395,0.27422926853832863,0.3176358071539707,0.31996284833747374,0.3591189198868677,0.3487272025924689,0.3254055310701976,0.3390767935267627,0.3749888819025505,0.36149297455002305,0.33131676954099754,0.3205481084372609,0.32886844605322635,0.32460614268332316,0.3553126990202473,0.3918149040957525,0.36547188337153924,0.3762100115888294,0.38373157121026136,0.37826415431833005,0.39939767545346344,0.3846052947687452,0.4394427834474601,0.4192232054183201,0.4522389688668723,0.409284293085721,0.4375216664400917,0.452430844372312,0.5872471258979983,0.6451610583221257,0.4203846758879699,0.40394560263073787,0.4285210067519345,0.4116587591002366,0.42740964153183797,0.44197315162749506,0.4999847070179793,0.44298905679322553,0.43636109828955455,0.43630917513237716,0.44677225525307296,0.4725484736111136,0.5673405199069842,0.6071638299014355,0.324440965208101,0.4872344071793286,0.5072641399210325,0.5056501166081586,0.49537316634325823,0.47998708622116915,0.5867663357743056,0.5581955687771843,0.5032971735583611,0.5500749886894962,0.5381175752323488,0.5286754426488958,0.628395199582704,0.658610735089525,0.5416191705126361,0.4925024911637415,0.5474759115629075,0.5480229823331889,0.5319903374892426,0.6260804856706085,0.726992577695481,0.5409933060527765,0.5531202493479251,0.5894692857540466,0.6119055301081662,0.6207783258702917,0.7141695217436679,0.8189126484107606,0.6195407952071993,0.5864358481298739,0.5989312958967768,0.6322773214099824,0.5968650912838428,0.6862418826941364,0.7880787987319496,0.6145262894322575,0.6081315538804267,0.6671380487866694,0.7316605000453481,0.6294377762398545,0.5817275469997126,0.8092546757877859,0.6269636172327824,0.5811373639530016,0.6085612170108649,0.5962647040695189,0.6112214129879415","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,0.99999976,0.9999981,0.99998915,0.99989426,0.9993038,0.9968595,0.9869055,0.9583875,0.92156726,0.8832767,0.8543031,0.8308939,0.81462353,0.7999654,0.7872288,0.7766864,0.76803565,0.76088834,0.75616527,0.75068736,0.74641025,0.74349767,0.740088,0.7383175,0.7367529,0.7356839,0.7350616,0.73431563,0.7335588,0.73329717,0.7330837,0.7330729,0.7328347,0.73260194,0.732494,0.7324209,0.7323586,0.73230326,0.73216546,0.73211575,0.7319937,0.7319734,0.73181605,0.7317901,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317054,0.7317054,0.7317054,0.7317054,0.7316194,0.7316194,0.7316036,0.731565,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.7315259,0.7313702,0.7313702,0.73118675,0.73109984,0.73109984,0.73109984,0.7310293,0.73098,0.7308445,0.7306876,0.73050874,0.7304316,0.7303984,0.7302203,0.73017645,0.73017645,0.7301605,0.7300091,0.7300091",178763,182585,172799,172026,190938,170765,104235,58192,32722,1263025,157221,162771,80198,64292,29829,20245
53055,,,,,,1987,2307,2533,2333,3098,4093,3595,2063,1373,23382,4108,4898,1236,833,320,133
53057,,,,,,24008,24873,19963,21128,23646,24637,20549,11101,7126,177031,19996,25407,10485,8365,4057,3168
53059,,,,,,3620,3895,2672,2920,3660,4132,3151,1755,1018,26823,2865,4467,1381,1280,624,400
53061,30.0,5.2,21.0,"1.0,0.8458257092344333,0.8530554084310972,0.8614665618118779,0.80728267063634,0.784102769369955,0.8041726685815735,0.9003644506704463,0.8133634522145399,0.7890246547418561,0.8008255423717445,0.7943381864168728,0.7362201308322904,0.6419637303544063,0.6937850183578813,0.7062214173004961,0.5340461919711778,0.5063045235446572,0.4649184897327695,0.46173104746709404,0.45046628335354594,0.4033630494882889,0.386567201907768,0.33271252451438477,0.31117008031900695,0.2682402448522529,0.25706775613737887,0.26489976661118064,0.27670642642951065,0.2740004244880649,0.28080223865371867,0.3103501376335208,0.2792976348026605,0.27896806274674035,0.29153348005307494,0.2921808940164499,0.3106414672823402,0.3029844669082095,0.3204923902320506,0.31507807747378247,0.3036280062071593,0.33073157578820395,0.27422926853832863,0.3176358071539707,0.31996284833747374,0.3591189198868677,0.3487272025924689,0.3254055310701976,0.3390767935267627,0.3749888819025505,0.36149297455002305,0.33131676954099754,0.3205481084372609,0.32886844605322635,0.32460614268332316,0.3553126990202473,0.3918149040957525,0.36547188337153924,0.3762100115888294,0.38373157121026136,0.37826415431833005,0.39939767545346344,0.3846052947687452,0.4394427834474601,0.4192232054183201,0.4522389688668723,0.409284293085721,0.4375216664400917,0.452430844372312,0.5872471258979983,0.6451610583221257,0.4203846758879699,0.40394560263073787,0.4285210067519345,0.4116587591002366,0.42740964153183797,0.44197315162749506,0.4999847070179793,0.44298905679322553,0.43636109828955455,0.43630917513237716,0.44677225525307296,0.4725484736111136,0.5673405199069842,0.6071638299014355,0.324440965208101,0.4872344071793286,0.5072641399210325,0.5056501166081586,0.49537316634325823,0.47998708622116915,0.5867663357743056,0.5581955687771843,0.5032971735583611,0.5500749886894962,0.5381175752323488,0.5286754426488958,0.628395199582704,0.658610735089525,0.5416191705126361,0.4925024911637415,0.5474759115629075,0.5480229823331889,0.5319903374892426,0.6260804856706085,0.726992577695481,0.5409933060527765,0.5531202493479251,0.5894692857540466,0.6119055301081662,0.6207783258702917,0.7141695217436679,0.8189126484107606,0.6195407952071993,0.5864358481298739,0.5989312958967768,0.6322773214099824,0.5968650912838428,0.6862418826941364,0.7880787987319496,0.6145262894322575,0.6081315538804267,0.6671380487866694,0.7316605000453481,0.6294377762398545,0.5817275469997126,0.8092546757877859,0.6269636172327824,0.5811373639530016,0.6085612170108649,0.5962647040695189,0.6112214129879415","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,0.99999976,0.9999981,0.99998915,0.99989426,0.9993038,0.9968595,0.9869055,0.9583875,0.92156726,0.8832767,0.8543031,0.8308939,0.81462353,0.7999654,0.7872288,0.7766864,0.76803565,0.76088834,0.75616527,0.75068736,0.74641025,0.74349767,0.740088,0.7383175,0.7367529,0.7356839,0.7350616,0.73431563,0.7335588,0.73329717,0.7330837,0.7330729,0.7328347,0.73260194,0.732494,0.7324209,0.7323586,0.73230326,0.73216546,0.73211575,0.7319937,0.7319734,0.73181605,0.7317901,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317054,0.7317054,0.7317054,0.7317054,0.7316194,0.7316194,0.7316036,0.731565,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.7315259,0.7313702,0.7313702,0.73118675,0.73109984,0.73109984,0.73109984,0.7310293,0.73098,0.7308445,0.7306876,0.73050874,0.7304316,0.7303984,0.7302203,0.73017645,0.73017645,0.7301605,0.7300091,0.7300091",127739,131156,116864,130196,145720,127969,71766,35966,24157,911533,94232,115382,58716,50951,22017,14570
53063,,,,,,124691,144301,140877,118566,137351,138022,90264,51461,33569,979102,130488,141843,58428,49382,21021,13273
53065,,,,,,9395,10333,6911,7631,9425,10890,9117,4997,2743,71442,7883,11948,3827,3041,1561,1241
53067,,,,,,35445,37705,35495,36029,37899,42536,26283,13880,9552,274824,35639,40580,18641,13545,5431,3186
53069,,,,,,923,1103,821,875,1152,1442,1105,685,410,8516,1129,1681,458,305,129,116
53071,,,,,,13017,14163,16833,11462,13034,11662,7866,5574,3321,96932,16191,12672,5128,4295,2420,1626
53073,,,,,,27349,36903,38779,28680,29674,32772,22377,11127,8375,236036,35984,33021,13410,10952,5215,3573
53075,,,,,,8033,11644,15438,7890,9398,10896,7557,5512,3436,79804,16954,12527,4666,3296,1252,677
53077,,,,,,34879,33861,24820,24539,24321,21862,16134,8836,6388,195640,18098,20321,9700,9221,6183,5910
